Date,Price,Open,High,Low,Vol.,Change %
8/1/2003,15.0,15.0,15.25,14.5,11.38M,0.00%
9/1/2003,22.5,15.0,24.75,15.0,79.56M,50.00%
10/1/2003,27.25,22.75,30.0,22.5,48.79M,21.11%
11/1/2003,21.75,27.25,27.25,16.0,54.40M,-20.18%
12/1/2003,18.25,21.25,21.25,17.25,10.32M,-16.09%
1/1/2004,20.5,18.0,23.0,18.0,25.51M,12.33%
2/1/2004,19.0,20.75,20.75,16.25,17.62M,-7.32%
3/1/2004,18.5,19.25,19.5,17.25,10.37M,-2.63%
4/1/2004,15.25,18.5,19.5,15.0,15.99M,-17.57%
5/1/2004,15.75,15.25,16.75,15.25,30.68M,3.28%
6/1/2004,16.75,16.0,16.75,15.0,16.71M,6.35%
7/1/2004,20.0,16.5,20.5,16.25,30.75M,19.40%
8/1/2004,18.5,20.0,20.5,17.75,9.68M,-7.50%
9/1/2004,18.5,18.5,20.0,18.25,6.41M,0.00%
10/1/2004,17.75,18.5,19.0,17.25,3.77M,-4.05%
11/1/2004,16.75,18.0,18.0,15.75,8.61M,-5.63%
12/1/2004,15.75,16.75,17.25,15.5,4.65M,-5.97%
1/1/2005,16.0,15.5,16.75,15.5,11.10M,1.59%
2/1/2005,16.25,16.25,18.5,16.0,15.26M,1.56%
3/1/2005,16.25,16.25,17.0,15.75,13.01M,0.00%
4/1/2005,16.75,16.25,17.0,16.0,5.50M,3.08%
5/1/2005,19.5,16.5,20.0,16.25,17.80M,16.42%
6/1/2005,22.0,19.25,23.0,18.5,24.26M,12.82%
7/1/2005,23.0,22.0,25.0,21.25,54.34M,4.55%
8/1/2005,22.25,23.25,23.75,21.5,25.68M,-3.26%
9/1/2005,24.5,22.25,24.5,22.0,21.36M,10.11%
10/1/2005,25.5,24.5,27.0,24.5,26.93M,4.08%
11/1/2005,21.0,25.5,26.0,18.0,27.40M,-17.65%
12/1/2005,16.5,20.75,21.0,15.75,11.02M,-21.43%
1/1/2006,19.0,16.75,19.75,14.75,35.31M,15.15%
2/1/2006,18.75,19.5,19.5,18.0,18.07M,-1.32%
3/1/2006,18.0,19.0,19.25,17.75,16.73M,-4.00%
4/1/2006,17.75,18.25,19.5,16.25,8.34M,-1.39%
5/1/2006,18.0,17.75,18.5,16.5,4.58M,1.41%
6/1/2006,18.0,18.25,18.75,17.0,14.73M,0.00%
7/1/2006,19.0,18.0,19.5,17.75,4.79M,5.56%
8/1/2006,20.0,19.0,20.0,18.0,5.93M,5.26%
9/1/2006,21.0,20.0,21.0,19.5,8.99M,5.00%
10/1/2006,23.0,21.0,24.25,21.0,22.39M,9.52%
11/1/2006,29.0,23.25,29.75,23.0,145.87M,26.09%
12/1/2006,27.75,29.25,29.75,26.5,8.49M,-4.31%
1/1/2007,32.5,28.0,33.75,28.0,41.97M,17.12%
2/1/2007,42.75,32.5,43.25,32.25,46.00M,31.54%
3/1/2007,37.25,42.75,42.75,36.25,21.55M,-12.87%
4/1/2007,38.0,37.25,39.25,37.0,3.08M,2.01%
5/1/2007,36.0,38.0,38.75,34.5,6.72M,-5.26%
6/1/2007,36.5,36.0,39.25,36.0,9.60M,1.39%
7/1/2007,33.5,36.5,36.75,30.25,4.54M,-8.22%
8/1/2007,34.0,33.0,36.0,32.0,2.52M,1.49%
9/1/2007,33.25,34.0,36.25,33.0,7.12M,-2.21%
10/1/2007,34.0,33.0,35.0,33.0,5.68M,2.26%
11/1/2007,33.0,34.25,35.5,32.5,5.40M,-2.94%
12/1/2007,31.5,32.5,33.0,31.0,2.91M,-4.55%
1/1/2008,31.25,32.0,32.75,29.0,2.68M,-0.79%
2/1/2008,34.5,31.25,35.5,30.0,8.66M,10.40%
3/1/2008,41.5,34.75,42.0,34.25,112.63M,20.29%
4/1/2008,48.75,42.0,49.75,42.0,764.06M,17.47%
5/1/2008,49.0,48.5,49.25,48.5,9.11M,0.51%
6/1/2008,45.5,48.5,49.0,44.0,1.08M,-7.14%
7/1/2008,46.75,45.0,47.5,40.5,900.00K,2.75%
8/1/2008,45.5,46.75,47.5,44.0,866.30K,-2.67%
9/1/2008,42.0,45.5,47.0,40.5,1.57M,-7.69%
10/1/2008,39.0,41.5,43.25,33.75,896.70K,-7.14%
11/1/2008,33.75,39.0,43.0,31.0,521.60K,-13.46%
12/1/2008,31.0,34.75,34.75,29.75,260.70K,-8.15%
1/1/2009,37.5,31.0,38.0,31.0,763.90K,20.97%
2/1/2009,35.0,38.0,38.0,34.25,236.40K,-6.67%
3/1/2009,33.0,35.0,35.5,32.0,622.50K,-5.71%
4/1/2009,39.0,34.0,40.0,33.5,1.84M,18.18%
5/1/2009,42.0,39.5,45.0,38.0,1.23M,7.69%
6/1/2009,49.0,41.75,51.0,41.0,3.10M,16.67%
7/1/2009,47.5,48.25,48.5,44.75,979.50K,-3.06%
8/1/2009,42.0,47.5,47.5,40.25,1.34M,-11.58%
9/1/2009,45.0,42.0,47.25,40.0,1.64M,7.14%
10/1/2009,44.0,45.0,48.0,41.5,1.80M,-2.22%
11/1/2009,40.5,43.5,44.5,39.5,479.50K,-7.95%
12/1/2009,46.5,41.0,47.0,40.0,666.50K,14.81%
1/1/2010,42.0,46.0,46.5,41.25,585.00K,-9.68%
2/1/2010,39.5,42.25,43.5,38.5,707.70K,-5.95%
3/1/2010,36.5,39.25,39.75,36.0,792.90K,-7.59%
4/1/2010,37.0,36.25,39.5,36.0,776.60K,1.37%
5/1/2010,36.75,37.0,39.0,36.0,4.18M,-0.68%
6/1/2010,36.75,37.0,38.75,36.0,1.90M,0.00%
7/1/2010,37.0,37.75,38.0,35.0,1.37M,0.68%
8/1/2010,41.9,37.6,43.0,35.0,3.49M,13.24%
9/1/2010,45.5,40.3,50.0,40.3,6.06M,8.59%
10/1/2010,44.9,45.5,47.5,40.1,1.22M,-1.32%
11/1/2010,45.0,45.3,48.0,44.0,1.31M,0.22%
12/1/2010,48.0,45.0,51.0,45.0,1.76M,6.67%
1/1/2011,55.0,50.0,60.0,47.0,2.87M,14.58%
2/1/2011,59.0,56.0,64.5,54.6,1.97M,7.27%
3/1/2011,58.5,58.4,60.0,51.5,828.10K,-0.85%
4/1/2011,56.6,55.4,61.0,55.0,1.01M,-3.25%
5/1/2011,57.8,56.1,61.0,54.6,374.40K,2.12%
6/1/2011,55.0,57.0,61.0,52.9,673.30K,-4.84%
7/1/2011,52.9,54.2,61.0,49.0,658.30K,-3.82%
8/1/2011,54.5,52.1,60.0,49.5,1.65M,3.02%
9/1/2011,48.0,53.8,54.5,47.7,290.20K,-11.93%
10/1/2011,50.0,49.0,52.0,45.0,758.80K,4.17%
11/1/2011,48.7,48.0,52.0,45.1,210.80K,-2.60%
12/1/2011,48.4,48.5,50.0,44.0,122.40K,-0.62%
1/1/2012,47.3,48.4,49.9,42.5,197.80K,-2.27%
2/1/2012,47.2,47.9,50.0,43.1,240.15K,-0.21%
3/1/2012,46.3,47.9,50.0,44.5,288.20K,-1.91%
4/1/2012,44.0,45.1,46.9,44.0,177.23K,-4.97%
5/1/2012,36.1,44.1,44.5,34.0,600.86K,-17.95%
6/1/2012,39.1,37.4,44.5,36.0,300.30K,8.31%
7/1/2012,38.4,40.0,40.5,35.2,119.58K,-1.79%
8/1/2012,41.2,38.5,43.5,36.1,213.32K,7.29%
9/1/2012,45.0,41.0,49.4,39.5,559.12K,9.22%
10/1/2012,42.3,45.0,45.5,40.0,114.10K,-6.00%
11/1/2012,43.0,42.0,43.8,40.5,202.52K,1.65%
12/1/2012,44.0,42.9,44.9,40.0,599.70K,2.33%
1/1/2013,44.9,43.0,50.0,42.0,1.44M,2.05%
2/1/2013,43.9,44.0,45.0,42.0,203.16K,-2.23%
3/1/2013,44.0,42.9,44.0,41.5,222.42K,0.23%
4/1/2013,43.0,42.1,44.8,41.6,265.65K,-2.27%
5/1/2013,42.5,43.0,45.5,42.1,392.22K,-1.16%
6/1/2013,41.0,43.9,43.9,39.0,126.10K,-3.53%
7/1/2013,39.8,41.6,42.0,39.0,148.51K,-2.93%
8/1/2013,41.0,40.0,42.0,38.0,190.48K,3.02%
9/1/2013,39.5,41.3,41.4,38.0,102.10K,-3.66%
10/1/2013,38.8,38.7,41.5,38.3,92.75K,-1.77%
11/1/2013,39.3,38.8,39.9,37.0,82.53K,1.29%
12/1/2013,37.0,38.0,38.9,36.1,163.13K,-5.85%
1/1/2014,36.5,37.0,38.5,33.0,1.57M,-1.35%
2/1/2014,44.9,36.1,44.9,36.0,4.47M,23.01%
3/1/2014,46.1,44.8,47.4,42.7,612.04K,2.67%
4/1/2014,48.9,46.0,49.9,41.5,451.48K,6.07%
5/1/2014,48.7,48.0,49.1,45.0,260.44K,-0.41%
6/1/2014,48.0,48.5,48.9,45.6,267.84K,-1.44%
7/1/2014,54.1,47.0,57.3,47.0,3.89M,12.71%
8/1/2014,55.0,54.9,57.2,53.0,797.06K,1.66%
9/1/2014,52.0,54.9,55.5,50.5,234.17K,-5.45%
10/1/2014,50.5,52.0,54.0,49.5,694.01K,-2.88%
11/1/2014,47.5,50.0,51.7,45.3,877.69K,-5.94%
12/1/2014,50.5,48.0,52.0,47.0,568.59K,6.32%
1/1/2015,49.6,50.0,54.9,47.0,317.38K,-1.78%
2/1/2015,48.5,50.9,50.9,45.6,63.76K,-2.22%
3/1/2015,45.5,49.0,49.0,44.0,124.19K,-6.19%
4/1/2015,47.1,45.4,49.5,45.0,216.28K,3.52%
5/1/2015,47.1,48.0,49.9,45.0,249.76K,0.00%
6/1/2015,45.0,47.5,47.5,44.0,92.55K,-4.46%
7/1/2015,48.0,45.0,50.9,43.0,508.90K,6.67%
8/1/2015,48.1,48.7,49.0,45.9,116.83K,0.21%
9/1/2015,48.9,48.9,49.8,45.9,163.49K,1.66%
10/1/2015,48.5,48.9,49.4,46.8,103.25K,-0.82%
11/1/2015,47.9,47.3,49.5,45.1,84.93K,-1.24%
12/1/2015,47.0,47.9,48.0,45.0,21.20K,-1.88%
1/1/2016,40.0,45.6,46.4,39.2,372.27K,-14.89%
2/1/2016,35.0,40.0,41.5,33.0,1.26M,-12.50%
3/1/2016,38.8,36.5,41.0,31.2,242.03K,10.86%
4/1/2016,39.9,39.0,41.0,37.0,137.60K,2.84%
5/1/2016,40.9,40.0,45.0,39.6,320.58K,2.51%
6/1/2016,38.0,41.0,42.0,36.7,93.25K,-7.09%
7/1/2016,37.0,37.9,39.8,36.0,85.70K,-2.63%
8/1/2016,36.8,36.6,38.8,36.5,138.29K,-0.54%
9/1/2016,38.8,36.8,39.0,35.8,182.61K,5.43%
10/1/2016,36.5,38.8,39.9,35.2,107.04K,-5.93%
11/1/2016,35.9,35.9,37.4,33.3,109.33K,-1.64%
12/1/2016,36.5,36.0,37.0,33.5,31.46K,1.67%
1/1/2017,36.0,35.0,36.7,34.0,74.41K,-1.37%
2/1/2017,34.6,34.3,36.0,33.0,28.74K,-3.89%
3/1/2017,33.6,33.1,35.8,32.1,116.52K,-2.89%
4/1/2017,35.3,33.7,35.9,32.5,103.10K,5.06%
5/1/2017,33.0,35.5,36.0,32.5,135.59K,-6.52%
6/1/2017,32.0,33.0,33.0,30.8,150.30K,-3.03%
7/1/2017,31.8,31.9,32.8,30.8,209.36K,-0.63%
8/1/2017,30.0,32.0,32.4,29.5,96.40K,-5.66%
9/1/2017,29.0,30.0,30.4,28.0,231.20K,-3.33%
10/1/2017,30.5,28.9,31.9,28.7,173.01K,5.17%
11/1/2017,29.5,30.8,31.5,28.0,76.20K,-3.28%
12/1/2017,28.4,28.9,29.0,27.0,68.97K,-3.73%
1/1/2018,27.9,28.9,30.0,27.5,90.61K,-1.76%
2/1/2018,28.0,28.4,29.5,26.9,90.24K,0.36%
3/1/2018,27.0,28.5,28.5,26.5,51.11K,-3.57%
4/1/2018,28.0,27.0,30.0,26.4,107.61K,3.70%
5/1/2018,25.5,28.0,28.0,24.5,99.06K,-8.93%
6/1/2018,24.8,25.4,27.0,23.7,113.55K,-2.75%
7/1/2018,24.5,24.0,26.0,23.5,41.32K,-1.21%
8/1/2018,22.3,24.8,24.8,21.7,71.58K,-8.98%
9/1/2018,20.5,22.1,22.6,20.0,84.73K,-8.07%
10/1/2018,21.0,20.0,21.5,18.9,152.02K,2.44%
11/1/2018,21.7,21.0,23.0,20.0,113.76K,3.33%
12/1/2018,23.5,21.8,23.5,20.9,97.57K,8.29%
1/1/2019,23.0,23.5,27.5,22.0,124.88K,-2.13%
2/1/2019,23.4,22.6,23.4,21.0,34.97K,1.74%
3/1/2019,21.5,22.0,23.8,20.5,185.54K,-8.12%
4/1/2019,22.9,21.2,23.5,21.2,49.30K,6.51%
5/1/2019,23.8,22.8,24.0,19.6,201.03K,3.93%
6/1/2019,23.0,23.0,24.0,22.0,52.39K,-3.36%
7/1/2019,29.0,23.0,31.9,22.0,589.87K,26.09%
8/1/2019,29.2,29.0,31.5,27.4,165.60K,0.69%
9/1/2019,29.0,29.2,34.4,27.3,517.98K,-0.68%
10/1/2019,32.4,30.0,32.5,28.1,268.72K,11.72%
11/1/2019,33.0,32.4,34.5,30.2,403.68K,1.85%
12/1/2019,32.0,33.5,33.5,29.8,94.98K,-3.03%
1/1/2020,31.0,31.0,31.8,29.0,57.28K,-3.13%
2/1/2020,30.0,30.8,31.4,28.3,29.12K,-3.23%
3/1/2020,22.0,29.0,30.0,21.9,57.34K,-26.67%
5/1/2020,27.0,22.0,29.0,18.0,161.99K,22.73%
6/1/2020,28.9,27.0,30.0,25.5,181.19K,7.04%
7/1/2020,29.0,29.0,29.5,27.0,298.64K,0.35%
8/1/2020,30.0,29.0,31.0,28.5,984.56K,3.45%
9/1/2020,33.0,30.4,33.5,29.5,1.76M,10.00%
10/1/2020,30.9,32.9,33.2,29.0,951.81K,-6.36%
11/1/2020,32.5,31.1,34.1,30.9,1.02M,5.18%
12/1/2020,33.7,32.7,34.8,32.5,484.31K,3.69%
1/1/2021,40.0,33.9,42.9,33.7,1.40M,18.69%
2/1/2021,34.8,39.0,39.9,34.3,342.51K,-13.00%
3/1/2021,33.0,35.7,35.8,31.5,338.81K,-5.17%
4/1/2021,33.2,33.2,36.5,32.6,311.85K,0.61%
5/1/2021,33.9,33.8,34.2,32.0,270.15K,2.11%
6/1/2021,33.4,34.2,35.4,32.2,156.71K,-1.47%
7/1/2021,34.0,33.4,34.5,32.5,214.49K,1.80%
8/1/2021,33.0,34.5,35.0,32.0,321.98K,-2.94%
9/1/2021,37.0,32.1,39.2,32.0,1.72M,12.12%
10/1/2021,37.0,36.6,37.5,35.0,249.76K,0.00%
11/1/2021,36.2,37.0,38.0,35.0,331.86K,-2.16%
12/1/2021,39.4,36.3,41.0,35.7,468.96K,8.84%
1/1/2022,61.0,38.8,70.0,37.8,11.13M,54.82%
2/1/2022,47.9,62.0,62.5,39.5,1.63M,-21.48%
3/1/2022,35.0,48.0,48.5,33.5,861.41K,-26.93%
4/1/2022,38.0,34.0,40.0,30.0,200.63K,8.57%
5/1/2022,35.0,39.7,40.0,32.0,656.50K,-7.89%
6/1/2022,30.4,35.0,35.0,28.7,425.60K,-13.14%
7/1/2022,31.0,31.0,33.0,28.7,333.93K,1.97%
8/1/2022,50.5,31.8,65.8,30.0,2.58M,62.90%
9/1/2022,44.2,51.0,52.8,42.6,853.16K,-12.48%
10/1/2022,60.1,44.8,72.0,42.6,5.80M,35.97%
11/1/2022,68.9,60.0,78.9,54.1,8.62M,14.64%
12/1/2022,67.9,69.0,73.5,60.5,1.45M,-1.45%
1/1/2023,66.4,68.0,72.5,62.0,1.42M,-2.21%
2/1/2023,84.6,65.0,91.9,64.5,9.45M,27.41%
3/1/2023,94.7,84.6,121.75,79.0,14.14M,11.94%
4/1/2023,99.4,91.5,102.75,89.6,258.99K,4.96%
